,T_Creation Date,T_Status,T_SRN,T_Type of SR,T_Tree Location,T_Street Address,T_Zip,T_X-Coordinate,T_Y-Coordinate,T_Ward,T_Police_District,T_Community_Area,T_Latitude,T_Longitude
27,2018-12-17T00:00:00.000,Completed,18-03381887,Tree Trim,Location Not Recorded,5800 N MARKHAM AVE,60646,1135851.33193085,1938094.30569634,45,16,11,41.986308641078175,-87.77571198397796
28,2018-12-17T00:00:00.000,Completed - Dup,18-03382955,Tree Trim,Location Not Recorded,11745 S PEORIA ST,60643,1172433.56528442,1826950.72992196,34,5,53,41.68058840012149,-87.64444165902567
29,2018-12-17T00:00:00.000,Open,18-03378563,Tree Trim,Parkway,2227 W MCLEAN AVE,60647,1161189.51990723,1913530.32181549,32,14,22,41.918413227753355,-87.6832035761399
30,2018-12-17T00:00:00.000,Completed,18-03381633,Tree Trim,Location Not Recorded,12351 S WENTWORTH AVE,60628,1177172.23110459,1823040.08718667,9,5,53,41.66975170727664,-87.62721318126073
31,2018-12-17T00:00:00.000,Completed,18-03381637,Tree Trim,Location Not Recorded,12865 S LOWE AVE,60628,1174332.19101509,1819469.78552163,9,5,53,41.66001759553608,-87.63771281631502
32,2018-12-17T00:00:00.000,Open,18-03379300,Tree Trim,Parkway,4835 S KNOX AVE,60632,1146174.69097186,1872164.58748603,14,8,56,41.80519951326624,-87.7394210046232
33,2018-12-17T00:00:00.000,Open,18-03380982,Tree Trim,Parkway,3722 N MOZART ST,60618,1156721.56449741,1924607.92898908,33,17,16,41.94890274890362,-87.69931824097208
34,2018-12-17T00:00:00.000,Open,18-03379254,Tree Trim,Location Not Recorded,1405 W 110TH PL,60643,1168914.71951553,1831477.64719062,34,22,75,41.693087504128165,-87.65719231915944
35,2018-12-17T00:00:00.000,Completed,18-03381892,Tree Trim,Location Not Recorded,5812 N MARKHAM AVE,60646,1135892.43193085,1938224.50569634,45,16,11,41.98666518649535,-87.7755576978067
36,2018-12-17T00:00:00.000,Open,18-03380841,Tree Trim,Parkway,4840 S MICHIGAN AVE,60615,1177974.4300292,1872963.8736966,3,2,38,41.8067306336335,-87.622768653649
37,2018-12-17T00:00:00.000,Completed,18-03381639,Tree Trim,Location Not Recorded,12729 S WALLACE ST,60628,1174627.97366893,1820469.31840776,9,5,53,41.662753925274615,-87.63660088686365
38,2018-12-17T00:00:00.000,Open - Dup,18-03384518,Tree Trim,Parkway,5097 W GLADYS AVE,60644,1142217.06023319,1897856.20781633,29,15,25,41.875775148906605,-87.75329985807477
39,2018-12-16T00:00:00.000,Open - Dup,18-03375851,Tree Trim,Parkway,7220 S CONSTANCE AVE,60649,1189625.26243343,1857378.94010441,7,3,43,41.76369215361432,-87.58053830433697
40,2018-12-16T00:00:00.000,Open,18-03373274,Tree Trim,Parkway,6249 N LEGETT AVE,60646,1141930.14878236,1941032.66626834,39,16,12,41.99426093409984,-87.75328071276829
41,2018-12-16T00:00:00.000,Open,18-03374822,Tree Trim,Parkway,1714 W THORNDALE AVE,60660,1164015.85809531,1939049.23200324,40,20,77,41.98837907214912,-87.67209600450614
42,2018-12-16T00:00:00.000,Open,18-03372341,Tree Trim,Parkway,650 N RACINE AVE,60642,1168271.0946318,1904535.99008085,1,12,24,41.89358196188555,-87.65744580427507
43,2018-12-16T00:00:00.000,Open,18-03373486,Tree Trim,Parkway,4746 W BYRON ST,60641,1144044.98123298,1925494.6838044,45,17,15,41.951583945757896,-87.74589326711187
44,2018-12-16T00:00:00.000,Open - Dup,18-03370117,Tree Trim,Parkway,5558 S NORMANDY AVE,60638,1132664.22542983,1866952.16170599,23,8,56,41.79114117575309,-87.78909388543028
45,2018-12-16T00:00:00.000,Open,18-03374992,Tree Trim,Parkway,10139 S AVENUE N,60617,1201160.42238174,1838351.06996924,10,4,52,41.71119355173539,-87.53890420711285
46,2018-12-15T00:00:00.000,Open,18-03365553,Tree Trim,Parkway,946 W 36TH ST,60609,1170662.78351152,1880885.802167,11,9,60,41.82863194704342,-87.64935399354857
47,2018-12-15T00:00:00.000,Open,18-03365619,Tree Trim,Parkway,6325 N KILDARE AVE,60646,1146572.39498548,1941633.6403237,39,17,12,41.99582248674258,-87.7361889067332
48,2018-12-15T00:00:00.000,Open - Dup,18-03366279,Tree Trim,Parkway,5135 W ARGYLE ST,60630,1141235.59182757,1932763.78161028,45,16,11,41.97158336036856,-87.7560406384973
49,2018-12-15T00:00:00.000,Open,18-03365512,Tree Trim,Parkway,6226 W NORWOOD ST,60646,1133813.69107825,1939748.93998628,39,16,10,41.99088526113468,-87.78316742152853
50,2018-12-15T00:00:00.000,Open,18-03369926,Tree Trim,Parkway,5740 N LOWELL AVE,60646,1146293.71002284,1937857.75997554,39,17,13,41.985466557613094,-87.73731073532996
51,2018-12-15T00:00:00.000,Open,18-03367208,Tree Trim,Parkway,8299 S KIMBARK AVE,60619,1186319.51001013,1850215.98081194,8,4,45,41.74411505155643,-87.59288037945471
52,2018-12-15T00:00:00.000,Open,18-03366925,Tree Trim,Parkway,3052 N LOWELL AVE,60641,1146788.9454292,1920034.95993013,31,25,20,41.936549942469064,-87.7359462749612
53,2018-12-14T00:00:00.000,Open,18-03360579,Tree Trim,Location Not Recorded,1433 W ELMDALE AVE,60660,1165672.6041323,1939961.39139685,48,20,77,41.99084679985083,-87.66597620711245
54,2018-12-14T00:00:00.000,Open,18-03359396,Tree Trim,Parkway,5047 N KENMORE AVE,60640,1168335.50028677,1933925.57889476,48,20,3,41.974227021430345,-87.65635695885575
55,2018-12-14T00:00:00.000,Completed,18-03360533,Tree Trim,Location Not Recorded,15 E 120TH PL,60628,1178506.29318402,1825070.45011849,9,5,53,41.67529323429656,-87.62226938590494
56,2018-12-14T00:00:00.000,Completed,18-03359985,Tree Trim,Location Not Recorded,3129 S GILES AVE,60616,1178779.2500152,1884314.68001621,4,2,35,41.837859859728496,-87.6194709729519
57,2018-12-14T00:00:00.000,Open,18-03360796,Tree Trim,Parkway,2513 S KARLOV AVE,60623,1149671.80577683,1886939.05487234,22,10,30,41.84567565829023,-87.72621195080302
58,2018-12-14T00:00:00.000,Open,18-03357647,Tree Trim,Parkway,6131 S LANGLEY AVE,60637,1181946.01349014,1864509.68642617,20,3,42,41.78344058543618,-87.60846379294564
59,2018-12-14T00:00:00.000,Open,18-03357078,Tree Trim,Location Not Recorded,1745 N WINCHESTER AVE,60622,1163077.68440218,1911803.17698285,32,14,24,41.91363433723344,-87.67631493518678
60,2018-12-14T00:00:00.000,Open,18-03357068,Tree Trim,Location Not Recorded,1344 W WELLINGTON AVE,60657,1166818.263897,1920033.17280525,32,19,6,41.93613845293237,-87.66233623480068
61,2018-12-14T00:00:00.000,Completed,18-03360530,Tree Trim,Location Not Recorded,10827 S PRAIRIE AVE,60628,1179835.96482407,1833225.98208645,9,5,49,41.697642973720974,-87.61715440442039
62,2018-12-14T00:00:00.000,Open,18-03357715,Tree Trim,Parkway,4840 W OHIO ST,60644,1143926.116475,1903550.988275,37,15,25,41.89137044598472,-87.74688186468214
63,2018-12-14T00:00:00.000,Open,18-03356963,Tree Trim,Parkway,2856 N MEADE AVE,60634,1135240.36632624,1918349.89537624,30,25,19,41.93213892160917,-87.7784293998768
