,P_Creation Date,P_Status,P_SRN,P_Type of SR,P_Street Address,P_ Zip,P_X-Coordinate,P_Y-Coordinate,P_ Ward,P_Police_District,P_Community_Area,P_Latitude,P_Longitude,P_No_of_potholes_filled_on_block
29,2018-12-17T00:00:00.000,Open,18-03379525,Pothole in Street,5300 S FRANCISCO AVE,60632,1157941.59130076,1869368.27810421,14,9,63,41.797201394934504,-87.69648504707081,0
30,2018-12-17T00:00:00.000,Open,18-03381370,Pothole in Street,2300 N WESTERN AVE,60647,1159980.1389127,1915330.37997532,1,14,22,41.923335003623606,-87.6877427986446,0
31,2018-12-17T00:00:00.000,Open,18-03381396,Pothole in Street,3116 N SACRAMENTO AVE,60618,1155832.64361066,1920677.84419468,33,14,21,41.93810949639904,-87.70283848162448,0
32,2018-12-17T00:00:00.000,Open,18-03384843,Pothole in Street,4711 N VIRGINIA AVE,60625,1156969.44120777,1931187.49999078,40,19,4,41.96703545019651,-87.6981260789065,0
33,2018-12-17T00:00:00.000,Open - Dup,18-03384634,Pothole in Street,11648 S AVENUE J,60617,1202579.23596908,1828341.65979885,10,4,52,41.68312662713374,-87.53419140332903,0
34,2018-12-17T00:00:00.000,Open - Dup,18-03378281,Pothole in Street,5806 W BRYN MAWR AVE,60646,1136477.10052478,1936863.48373126,45,16,11,41.983028719895685,-87.77351105649434,0
35,2018-12-17T00:00:00.000,Open - Dup,18-03384499,Pothole in Street,328 N LAKE SHORE DR,60601,1180122.63110619,1902262.41959965,42,1,32,41.88709207291236,-87.61413825449038,0
36,2018-12-17T00:00:00.000,Open,18-03383604,Pothole in Street,1646 N NATOMA AVE,60707,1131831.74507466,1910229.35507342,29,25,25,41.910452736392216,-87.7913085628961,0
37,2018-12-17T00:00:00.000,Open,18-03379552,Pothole in Street,2802 W 54TH ST,60632,1158604.646832,1868724.35603331,14,9,63,41.79562231141972,-87.69400448637434,0
38,2018-12-17T00:00:00.000,Open,18-03381588,Pothole in Street,6231 W GUNNISON ST,60630,1133536.98998085,1931573.32769506,38,16,15,41.968345033215186,-87.78443621708955,0
39,2018-12-17T00:00:00.000,Open - Dup,18-03379447,Pothole in Street,4856 S KEATING AVE,60632,1145511.2504684,1872007.68292571,14,8,56,41.804135476965754,-87.74198749009386,0
40,2018-12-17T00:00:00.000,Open - Dup,18-03378915,Pothole in Street,2022 W NORTH AVE,60647,1162600.21848325,1910644.74219595,2,14,24,41.91058107623684,-87.67826840667618,0
41,2018-12-17T00:00:00.000,Open,18-03378386,Pothole in Street,2138 N DAYTON ST,60614,1170270.61581711,1914425.39773396,43,18,7,41.92113902648173,-87.64997515730734,0
42,2018-12-17T00:00:00.000,Open,18-03379926,Pothole in Street,7500 W HORTENSE AVE,60631,1125534.73477741,1941718.51813291,41,16,10,41.9965379038021,-87.813736474474,0
43,2018-12-17T00:00:00.000,Open,18-03383000,Pothole in Street,5042 W AINSLIE ST,60630,1141874.20677771,1932111.23581739,45,16,11,41.9698828327875,-87.7543828774266,0
44,2018-12-17T00:00:00.000,Open - Dup,18-03381642,Pothole in Street,4010 N PULASKI RD,60641,1149009.23677118,1926348.65989102,39,17,16,41.954020826585065,-87.72777414748239,0
45,2018-12-17T00:00:00.000,Open - Dup,18-03382990,Pothole in Street,611 S LOCKWOOD AVE,60644,1141104.73241824,1896766.2303002,29,15,25,41.872547642677816,-87.75725426576209,0
46,2018-12-17T00:00:00.000,Open - Dup,18-03384703,Pothole in Street,1819 E 103RD ST,60617,1189885.47300423,1837040.98529605,10,4,51,41.707768628932584,-87.57989906736378,0
47,2018-12-17T00:00:00.000,Open - Dup,18-03380161,Pothole in Street,6800 W BELDEN AVE,60707,1130711.1243981,1914323.32090821,36,25,18,41.92127775145258,-87.79526007003588,0
48,2018-12-17T00:00:00.000,Open,18-03383449,Pothole in Street,3411 S EMERALD AVE,60616,1171858.5224911,1882265.31648973,11,9,60,41.83222094054088,-87.64477592217438,0
49,2018-12-17T00:00:00.000,Open,18-03384577,Pothole in Street,6905 W SHAKESPEARE AVE,60707,1130011.38989836,1913602.79313107,29,25,25,41.91909363651703,-87.79775670427124,0
50,2018-12-17T00:00:00.000,Open,18-03383660,Pothole in Street,4700 W BARRY AVE,60641,1144499.44599419,1920197.04501826,31,25,19,41.93714716613836,-87.74441834629596,0
51,2018-12-17T00:00:00.000,Open,18-03382643,Pothole in Street,3623 N NORA AVE,60634,1128770.77960261,1923280.91542125,38,16,17,41.94607502129917,-87.8019563939807,0
52,2018-12-17T00:00:00.000,Open,18-03385577,Pothole in Street,333 N GREEN ST,60607,1170671.59523026,1902416.9381036,27,12,28,41.887808158349756,-87.64854522138359,0
53,2018-12-17T00:00:00.000,Open,18-03380220,Pothole in Street,10300 S GREEN ST,60643,1172466.46091697,1836541.04927145,34,22,73,41.7068134420736,-87.64418616762808,0
54,2018-12-17T00:00:00.000,Open - Dup,18-03382860,Pothole in Street,2018 N SAWYER AVE,60647,1154185.6730785,1913316.08009173,26,14,22,41.917973013707666,-87.70909012204712,0
55,2018-12-17T00:00:00.000,Open - Dup,18-03380759,Pothole in Street,1538 N LAVERGNE AVE,60651,1142759.68263349,1909763.95460798,37,25,25,41.908905085348735,-87.75116773989058,0
56,2018-12-17T00:00:00.000,Open - Dup,18-03382299,Pothole in Street,1063 W MONROE ST,60607,1169332.11937259,1899734.39228872,25,12,28,41.88026192379877,-87.65437689398802,0
57,2018-12-17T00:00:00.000,Open,18-03385116,Pothole in Street,4503 S KILDARE BLVD,60632,1148398.25010894,1874430.9871155,14,8,57,41.81128664727795,-87.73105647147105,0
58,2018-12-17T00:00:00.000,Open - Dup,18-03383550,Pothole in Street,10550 S AVENUE E,60617,1203821.48118116,1835952.92229254,10,4,52,41.703023006455915,-87.52938437117214,0
59,2018-12-17T00:00:00.000,Open,18-03379941,Pothole in Street,6200 N OLCOTT AVE,60631,1125515.4554321,1940661.89250271,41,16,10,41.99358085119744,-87.81381698262697,0
60,2018-12-17T00:00:00.000,Open,18-03379758,Pothole in Street,1402 W WARNER AVE,60613,1166208.79999918,1927666.13998033,47,19,6,41.95720274382897,-87.6645329321541,0
61,2018-12-17T00:00:00.000,Open,18-03382926,Pothole in Street,2550 N PULASKI RD,60639,1149297.78061043,1916324.97000707,31,25,22,41.9278135092499,-87.72701303431263,0
62,2018-12-17T00:00:00.000,Open,18-03382923,Pothole in Street,5046 N AVERS AVE,60625,1149804.01901532,1933256.08799748,39,17,14,41.9733138637925,-87.72467756176701,0
63,2018-12-17T00:00:00.000,Open,18-03379679,Pothole in Street,1934 W SCHOOL ST,60657,1162864.43878611,1921925.99639869,32,19,5,41.941520660599636,-87.67738366493512,0
64,2018-12-17T00:00:00.000,Open,18-03379918,Pothole in Street,7600 W PALATINE AVE,60631,1124686.49910696,1941230.00800492,41,16,10,41.995212252720805,-87.81682797292893,0
65,2018-12-17T00:00:00.000,Open,18-03381490,Pothole in Street,1105 N CHRISTIANA AVE,60651,1153787.83338314,1907168.57506816,26,11,23,41.90122253739984,-87.71042463658812,0
66,2018-12-17T00:00:00.000,Open,18-03382135,Pothole in Street,4756 W 85TH ST,60652,1146134.84970985,1847749.85468136,18,8,70,41.73829900990952,-87.74082751260164,0
67,2018-12-17T00:00:00.000,Open,18-03380795,Pothole in Street,1900 S HAMLIN AVE,60623,1151356.47092888,1890364.48000742,24,10,29,41.85493775984957,-87.72008458950238,0
68,2018-12-17T00:00:00.000,Open - Dup,18-03379716,Pothole in Street,1599 N LA SALLE DR,60610,1174833.52052965,1910995.31348677,2,18,8,41.91106533115013,-87.63300048150086,0
69,2018-12-17T00:00:00.000,Open,18-03378374,Pothole in Street,9400 S WOODLAWN AVE,60619,1185849.18592133,1842902.46292714,8,4,47,41.72401247428092,-87.59497952111779,0
70,2018-12-17T00:00:00.000,Open,18-03383522,Pothole in Street,7926 S COTTAGE GROVE AVE,60619,1182934.68363419,1852625.24381547,6,6,44,41.75045635343617,-87.6053632541433,0
71,2018-12-17T00:00:00.000,Open,18-03379762,Pothole in Street,2065 W JARVIS AVE,60645,1161148.69001115,1948778.63523113,49,24,1,42.01503302456836,-87.68306810914865,0
72,2018-12-17T00:00:00.000,Open,18-03381921,Pothole in Street,4400 W BELDEN AVE,60639,1146675.32900141,1914926.85461004,31,25,20,41.92264432557193,-87.7365574418826,0
73,2018-12-17T00:00:00.000,Open,18-03382504,Pothole in Street,7200 W WAVELAND AVE,60634,1127417.48761115,1923637.35986669,38,16,17,41.94689279880797,-87.80712131872366,0
74,2018-12-17T00:00:00.000,Open,18-03382581,Pothole in Street,1415 W ELMDALE AVE,60660,1165792.9041323,1939964.19139685,48,20,77,41.99074014010267,-87.66581300476278,0
75,2018-12-17T00:00:00.000,Open - Dup,18-03378504,Pothole in Street,398 E LOWER WACKER DR,60601,1179158.19671798,1902504.42402091,42,1,32,41.88788503584082,-87.61766861893602,0
76,2018-12-17T00:00:00.000,Open,18-03380110,Pothole in Street,4399 W FLOURNOY ST,60624,1147158.45161224,1896674.22997204,24,11,26,41.87233045967298,-87.73506179588367,0
77,2018-12-17T00:00:00.000,Open,18-03377087,Pothole in Street,756 W 45TH ST,60609,1171931.22027118,1875015.78561719,11,9,61,41.812605574173304,-87.64549895462976,0
78,2018-12-17T00:00:00.000,Open - Dup,18-03381143,Pothole in Street,4118 N RIDGEWAY AVE,60618,1150655.57329408,1927110.51711151,39,17,16,41.9561571036796,-87.72170494531612,0
