,creation_date,Status,SRN,Type of SR,Street Address,Zip,X-Coordinate,Y-Coordinate,Ward,Police_District,Community_Area,Latitude,Longitude,number_of_black_carts_delivered
28,2018-12-17T00:00:00.000,Open,18-03382896,Garbage Cart Black Maintenance/Replacement,10412 S CENTRAL PARK AVE,60655,1154177.907,1835336.83,19,22,74,41.70377146,-87.71118396,0
29,2018-12-17T00:00:00.000,Open - Dup,18-03381351,Garbage Cart Black Maintenance/Replacement,5258 W CARMEN AVE,60630,1140381.476,1933414.09,45,16,11,41.97348267,-87.76007235,0
30,2018-12-17T00:00:00.000,Completed - Dup,18-03384505,Garbage Cart Black Maintenance/Replacement,10319 S HALE AVE,60643,1165749.15,1836247.41,19,22,72,41.70598336,-87.66853249,0
31,2018-12-17T00:00:00.000,Open - Dup,18-03384497,Garbage Cart Black Maintenance/Replacement,11143 S SPAULDING AVE,60655,1156337.688,1830507.162,19,22,74,41.69029244,-87.70306971,0
32,2018-12-17T00:00:00.000,Open,18-03378622,Garbage Cart Black Maintenance/Replacement,5249 W ALTGELD ST,60639,1140968.975,1916130.27,31,25,19,41.92582942,-87.75816784,0
33,2018-12-17T00:00:00.000,Open - Dup,18-03381668,Garbage Cart Black Maintenance/Replacement,4139 W WILCOX ST,60624,1148820.017,1899014.295,28,11,26,41.87871073,-87.72962663,0
34,2018-12-17T00:00:00.000,Completed,18-03382302,Garbage Cart Black Maintenance/Replacement,3248 W HIRSCH ST,60651,1154448.275,1909125.286,26,14,23,41.90656356,-87.70885025,2
35,2018-12-17T00:00:00.000,Open,18-03378970,Garbage Cart Black Maintenance/Replacement,1238 S FAIRFIELD AVE,60608,1158227.993,1894217.287,28,10,29,41.86530341,-87.69475405,0
36,2018-12-17T00:00:00.000,Open,18-03381462,Garbage Cart Black Maintenance/Replacement,6651 S KNOX AVE,60629,1146524.9,1860094.471,13,8,64,41.77150455,-87.73828012,0
37,2018-12-17T00:00:00.000,Open,18-03383105,Garbage Cart Black Maintenance/Replacement,6119 W 63RD ST,60638,1136617.44,1862116.184,13,8,64,41.777691,-87.77470397,0
38,2018-12-17T00:00:00.000,Open,18-03378818,Garbage Cart Black Maintenance/Replacement,10701 S DREW ST,60643,1166914.065,1833738.336,19,22,75,41.6992852,-87.66424477,0
39,2018-12-17T00:00:00.000,Open,18-03381530,Garbage Cart Black Maintenance/Replacement,3500 W 63RD PL,60629,1154162.949,1862283.423,23,8,66,41.77803698,-87.71050428,0
40,2018-12-17T00:00:00.000,Open,18-03380496,Garbage Cart Black Maintenance/Replacement,5907 W CORNELIA AVE,60634,1136371.859,1922667.571,36,16,15,41.94385417,-87.77434113,0
41,2018-12-17T00:00:00.000,Open,18-03379660,Garbage Cart Black Maintenance/Replacement,9101 S URBAN AVE,60619,1178310.045,1844500.71,9,6,49,41.72852074,-87.62252035,0
42,2018-12-17T00:00:00.000,Open,18-03379383,Garbage Cart Black Maintenance/Replacement,7239 S CAMPBELL AVE,60629,1160961.991,1856571.154,18,8,66,41.76167059,-87.68545857,0
43,2018-12-17T00:00:00.000,Open,18-03380464,Garbage Cart Black Maintenance/Replacement,1401 E 76TH ST,60619,1186870.16,1854880.87,5,4,43,41.75679343,-87.59069191,0
